id,produto,quantidade,preco,data
1,Cimento,20,25.50,17/09/2024
2,Tijolo,100,0.70,20/09/2024
3,Areia,5,200.00,30/09/2024
4,Cal,10,15.00,22/09/2024
5,Bloco de Concreto,40,2.50,09/09/2024
6,Argamassa,25,30.00,15/09/2024
7,Ferro 3/8,15,12.00,19/09/2024
8,Ferro 1/2,10,18.00,29/09/2024
9,Tubo PVC,30,4.99,05/09/2024
10,Tinta Acrílica,5,95.00,18/08/2024
11,Lona Plástica,10,45.00,07/08/2024
12,Prego,200,0.10,02/09/2024
13,Parafuso,150,0.30,04/09/2024
14,Telha de Barro,50,4.50,13/09/2024
15,Cano PVC 100mm,12,39.99,21/09/2024
16,Porta de Madeira,2,250.00,06/09/2024
17,Janelas de Alumínio,4,450.00,11/09/2024
18,Interruptor,10,12.99,16/09/2024
19,Torneira,5,45.00,28/09/2024
20,Ladrilho,25,25.00,14/09/2024
21,Rejunte,10,22.00,15/09/20224
22,Bloco Cerâmico,70,2.20,26/09/2024
23,Cabo Elétrico 4mm,50,3.99,23/09/2024
24,Chave Philips,5,7.50,20/09/2024
25,Tubo Galvanizado,15,60.00,25/09/2024
26,Pincel,12,8.99,09/09/2024
27,Martelo,3,19.99,24/09/2024
28,Serrote,2,25.00,29/09/2024
29,Caixa de Luz,8,12.50,19/09/2024
30,Andame,1,550.00,12/09/2024
